# Copyright 2024 Collabora Ltd.
# SPDX-License-Identifier: MIT

# Columns:
#   name: PIPE_FORMAT enum
#   czt: Color/Z target format if renderable or NONE
#   tcs: TIC component sizes
#   type: Data type:
#       S: SNORM
#       N: UNORM
#       I: SINT
#       U: UINT
#       F: FLOAT
#   v2type: Data type:
#       S: SNORM
#       N: UNORM
#       I: SINT
#       U: UINT
#       F: FLOAT
#       ZS: depth/stencil
#       SZ: stencil/depth
#       ZFS: depth float/stencil
#   src: Swizzle of the form RGBAX01
#   caps: Format capabilities:
#       C: Color target
#       T: Texture
#       Z: Depth/stencil target
#       B: Bufer
#       A: Alpha blend
#       S: Storage
#       D: Scanout
#   hw: First hardware generation on which the format

# name                    czt                     tcs                 type   v2type   src    support     hw

R1_UNORM                , NONE                  , R1                , N    , N      , R001 , T
R16_SNORM               , RN16                  , R16               , S    , S      , R001 , CTBSA
R16_SINT                , RS16                  , R16               , I    , I      , R001 , CTBS
R16_UINT                , RU16                  , R16               , U    , U      , R001 , CTBS

R16G16_FLOAT            , RF16_GF16             , R16_G16           , FF   , F      , RG01 , CTBSA
R16G16_UNORM            , R16_G16               , R16_G16           , NN   , N      , RG01 , CTBSA
R16G16_SNORM            , RN16_GN16             , R16_G16           , SS   , S      , RG01 , CTBSA
R16G16_SINT             , RS16_GS16             , R16_G16           , II   , I      , RG01 , CTBS
R16G16_UINT             , RU16_GU16             , R16_G16           , UU   , U      , RG01 , CTBS

R16G16B16A16_FLOAT      , RF16_GF16_BF16_AF16   , R16_G16_B16_A16   , FFFF , F      , RGBA , CTBSA
R16G16B16A16_UNORM      , R16_G16_B16_A16       , R16_G16_B16_A16   , NNNN , N      , RGBA , CTBSA
R16G16B16A16_SNORM      , RN16_GN16_BN16_AN16   , R16_G16_B16_A16   , SSSS , S      , RGBA , CTBSA
R16G16B16A16_SINT       , RS16_GS16_BS16_AS16   , R16_G16_B16_A16   , IIII , I      , RGBA , CTBS
R16G16B16A16_UINT       , RU16_GU16_BU16_AU16   , R16_G16_B16_A16   , UUUU , U      , RGBA , CTBS
R16G16B16X16_FLOAT      , RF16_GF16_BF16_X16    , R16_G16_B16_A16   , FFFF , F      , RGB1 , CTA
R16G16B16X16_UNORM      , R16_G16_B16_A16       , R16_G16_B16_A16   , NNNN , N      , RGB1 , T
R16G16B16X16_SNORM      , RN16_GN16_BN16_AN16   , R16_G16_B16_A16   , SSSS , S      , RGB1 , T
R16G16B16X16_SINT       , RS16_GS16_BS16_AS16   , R16_G16_B16_A16   , IIII , I      , RGB1 , CT
R16G16B16X16_UINT       , RU16_GU16_BU16_AU16   , R16_G16_B16_A16   , UUUU , U      , RGB1 , CT

R32_FLOAT               , RF32                  , R32               , F    , F      , R001 , CTBSA
R32_UNORM               , NONE                  , R32               , N    , N      , R001 , T
R32_SNORM               , NONE                  , R32               , S    , S      , R001 , T
R32_SINT                , RS32                  , R32               , I    , I      , R001 , CTBS
R32_UINT                , RU32                  , R32               , U    , U      , R001 , CTBS

R32G32_FLOAT            , RF32_GF32             , R32_G32           , FF   , F      , RG01 , CTBSA
R32G32_UNORM            , NONE                  , R32_G32           , NN   , N      , RG01 , T
R32G32_SNORM            , NONE                  , R32_G32           , SS   , S      , RG01 , T
R32G32_SINT             , RS32_GS32             , R32_G32           , II   , I      , RG01 , CTBS
R32G32_UINT             , RU32_GU32             , R32_G32           , UU   , U      , RG01 , CTBS

R32G32B32_FLOAT         , NONE                  , R32_G32_B32       , FFF  , F      , RGB1 , TB
R32G32B32_SINT          , NONE                  , R32_G32_B32       , III  , I      , RGB1 , TB
R32G32B32_UINT          , NONE                  , R32_G32_B32       , UUU  , U      , RGB1 , TB

R32G32B32A32_FLOAT      , RF32_GF32_BF32_AF32   , R32_G32_B32_A32   , FFFF , F      , RGBA , CTBSA
R32G32B32A32_UNORM      , NONE                  , R32_G32_B32_A32   , NNNN , N      , RGBA , T
R32G32B32A32_SNORM      , NONE                  , R32_G32_B32_A32   , SSSS , S      , RGBA , T
R32G32B32A32_SINT       , RS32_GS32_BS32_AS32   , R32_G32_B32_A32   , IIII , I      , RGBA , CTBS
R32G32B32A32_UINT       , RU32_GU32_BU32_AU32   , R32_G32_B32_A32   , UUUU , U      , RGBA , CTBS
R32G32B32X32_FLOAT      , RF32_GF32_BF32_X32    , R32_G32_B32_A32   , FFFF , F      , RGB1 , CTA
R32G32B32X32_SINT       , RS32_GS32_BS32_X32    , R32_G32_B32_A32   , IIII , I      , RGB1 , CT
R32G32B32X32_UINT       , RU32_GU32_BU32_X32    , R32_G32_B32_A32   , UUUU , U      , RGB1 , CT

R64_SINT                , NONE                  , R32_G32           , II   , I      , RG01 , S
R64_UINT                , NONE                  , R32_G32           , UU   , U      , RG01 , S

# Depth/stencil formats
Z16_UNORM               , Z16                   , Z16               , N    , N      , R001 , TZ        , MaxwellA
Z32_FLOAT               , ZF32                  , ZF32              , F    , F      , R001 , TZ
Z24X8_UNORM             , X8Z24                 , X8Z24             , NU   , ZS     , R001 , TZ
X8Z24_UNORM             , Z24S8                 , Z24S8             , UN   , SZ     , G001 , TZ
Z24_UNORM_S8_UINT       , S8Z24                 , S8Z24             , NU   , ZS     , R001 , TZ
S8_UINT_Z24_UNORM       , Z24S8                 , Z24S8             , UN   , SZ     , G001 , TZ
Z32_FLOAT_S8X24_UINT    , ZF32_X24S8            , ZF32_X24S8        , FU   , ZFS    , R001 , TZ

# Stencil-only formats
S8_UINT                 , S8                    , R8                , U    , U      , R001 , TZ        , MaxwellB
X24S8_UINT              , NONE                  , G8R24             , UU   , ZS     , G001 , T
S8X24_UINT              , NONE                  , G24R8             , UU   , SZ     , R001 , T
X32_S8X24_UINT          , NONE                  , R32_B24G8         , UU   , ZFS    , G001 , T

# Luminance formats
L8_UNORM                , R8                    , R8                , N    , N      , RRR1 , CTA
L8_SRGB                 , NONE                  , R8                , N    , N      , RRR1 , T
L8_SNORM                , RN8                   , R8                , S    , S      , RRR1 , CTA
L8_SINT                 , RS8                   , R8                , I    , I      , RRR1 , CT
L8_UINT                 , RU8                   , R8                , U    , U      , RRR1 , CT
L16_UNORM               , R16                   , R16               , N    , N      , RRR1 , CTA
L16_SNORM               , RN16                  , R16               , S    , S      , RRR1 , CTA
L16_FLOAT               , RF16                  , R16               , F    , F      , RRR1 , CTA
L16_SINT                , RS16                  , R16               , I    , I      , RRR1 , CT
L16_UINT                , RU16                  , R16               , U    , U      , RRR1 , CT
L32_FLOAT               , RF32                  , R32               , F    , F      , RRR1 , CTA
L32_SINT                , RS32                  , R32               , I    , I      , RRR1 , CT
L32_UINT                , RU32                  , R32               , U    , U      , RRR1 , CT

# Intensity formats
I8_UNORM                , R8                    , R8                , N    , N      , RRRR , CT
I8_SNORM                , RN8                   , R8                , S    , S      , RRRR , CT
I8_SINT                 , RS8                   , R8                , I    , I      , RRRR , CT
I8_UINT                 , RU8                   , R8                , U    , U      , RRRR , CT
I16_UNORM               , R16                   , R16               , N    , N      , RRRR , CT
I16_SNORM               , RN16                  , R16               , S    , S      , RRRR , CT
I16_FLOAT               , RF16                  , R16               , F    , F      , RRRR , CT
I16_SINT                , RS16                  , R16               , I    , I      , RRRR , CT
I16_UINT                , RU16                  , R16               , U    , U      , RRRR , CT
I32_FLOAT               , RF32                  , R32               , F    , F      , RRRR , CT
I32_SINT                , RS32                  , R32               , I    , I      , RRRR , CT
I32_UINT                , RU32                  , R32               , U    , U      , RRRR , CT

# Alpha formats
A8_UNORM                , A8                    , R8                , N    , N      , 000R , CTBSA
A8_SNORM                , NONE                  , R8                , S    , S      , 000R , T
A8_SINT                 , NONE                  , R8                , I    , I      , 000R , T
A8_UINT                 , NONE                  , R8                , U    , U      , 000R , T
A16_UNORM               , NONE                  , R16               , N    , N      , 000R , T
A16_SNORM               , NONE                  , R16               , S    , S      , 000R , T
A16_FLOAT               , AF16                  , R16               , F    , F      , 000R , T
A16_SINT                , NONE                  , R16               , I    , I      , 000R , T
A16_UINT                , NONE                  , R16               , U    , U      , 000R , T
A32_FLOAT               , AF32                  , R32               , F    , F      , 000R , T
A32_SINT                , NONE                  , R32               , I    , I      , 000R , T
A32_UINT                , NONE                  , R32               , U    , U      , 000R , T

# Luminance/alpha formats
L4A4_UNORM              , NONE                  , G4R4              , NN   , N      , RRRG , T
L8A8_UNORM              , NONE                  , G8R8              , NN   , N      , RRRG , T
L8A8_SNORM              , NONE                  , G8R8              , SS   , S      , RRRG , T
L8A8_SRGB               , NONE                  , G8R8              , NN   , N      , RRRG , T
L8A8_SINT               , NONE                  , G8R8              , II   , I      , RRRG , T
L8A8_UINT               , NONE                  , G8R8              , UU   , U      , RRRG , T
L16A16_UNORM            , NONE                  , R16_G16           , NN   , N      , RRRG , T
L16A16_SNORM            , NONE                  , R16_G16           , SS   , S      , RRRG , T
L16A16_FLOAT            , NONE                  , R16_G16           , FF   , F      , RRRG , T
L16A16_SINT             , NONE                  , R16_G16           , II   , I      , RRRG , T
L16A16_UINT             , NONE                  , R16_G16           , UU   , U      , RRRG , T
L32A32_FLOAT            , NONE                  , R32_G32           , FF   , F      , RRRG , T
L32A32_SINT             , NONE                  , R32_G32           , II   , I      , RRRG , T
L32A32_UINT             , NONE                  , R32_G32           , UU   , U      , RRRG , T

# Red/alpha formats
R4A4_UNORM              , NONE                  , G4R4              , NN   , N      , R00G , T
R8A8_UNORM              , NONE                  , G8R8              , NN   , N      , R00G , T
A4R4_UNORM              , NONE                  , G4R4              , NN   , N      , G00R , T
A8R8_UNORM              , NONE                  , G8R8              , NN   , N      , G00R , T

# YCbCr formats
R8G8_B8G8_UNORM         , NONE                  , G8B8G8R8          , NNNN , N      , RGB1 , T
G8R8_B8R8_UNORM         , NONE                  , G8B8G8R8          , NNNN , N      , GRB1 , T
G8R8_G8B8_UNORM         , NONE                  , B8G8R8G8          , NNNN , N      , RGB1 , T
R8G8_R8B8_UNORM         , NONE                  , B8G8R8G8          , NNNN , N      , GRB1 , T
G8B8_G8R8_UNORM         , NONE                  , B8G8R8G8          , NNNN , N      , BGR1 , T
B8G8_R8G8_UNORM         , NONE                  , G8B8G8R8          , NNNN , N      , BGR1 , T

# Weird D3D9 formats
R8SG8SB8UX8U_NORM       , NONE                  , A8B8G8R8          , SSNN , S      , RGB1 , T
R5SG5SB6U_NORM          , NONE                  , B6G5R5            , SSNN , S      , RGB1 , T

# DXT compressed formats
DXT1_RGB                , NONE                  , DXT1              , NNNN , N      , RGB1 , T
DXT1_SRGB               , NONE                  , DXT1              , NNNN , N      , RGB1 , T
DXT1_RGBA               , NONE                  , DXT1              , NNNN , N      , RGBA , T
DXT1_SRGBA              , NONE                  , DXT1              , NNNN , N      , RGBA , T
DXT3_RGBA               , NONE                  , DXT23             , NNNN , N      , RGBA , T
DXT3_SRGBA              , NONE                  , DXT23             , NNNN , N      , RGBA , T
DXT5_RGBA               , NONE                  , DXT45             , NNNN , N      , RGBA , T
DXT5_SRGBA              , NONE                  , DXT45             , NNNN , N      , RGBA , T

RGTC1_UNORM             , NONE                  , DXN1              , NNNN , N      , R001 , T
RGTC1_SNORM             , NONE                  , DXN1              , SSSS , S      , R001 , T
RGTC2_UNORM             , NONE                  , DXN2              , NNNN , N      , RG01 , T
RGTC2_SNORM             , NONE                  , DXN2              , SSSS , S      , RG01 , T
LATC1_UNORM             , NONE                  , DXN1              , NNNN , N      , RRR1 , T
LATC1_SNORM             , NONE                  , DXN1              , SSSS , S      , RRR1 , T
LATC2_UNORM             , NONE                  , DXN2              , NNNN , N      , RRRG , T
LATC2_SNORM             , NONE                  , DXN2              , SSSS , S      , RRRG , T

BPTC_RGBA_UNORM         , NONE                  , BC7U              , NNNN , N      , RGBA , T
BPTC_SRGBA              , NONE                  , BC7U              , NNNN , N      , RGBA , T
BPTC_RGB_FLOAT          , NONE                  , BC6H_SF16         , FFFF , F      , RGB1 , T
BPTC_RGB_UFLOAT         , NONE                  , BC6H_UF16         , FFFF , F      , RGB1 , T

ETC1_RGB8               , NONE                  , ETC2_RGB          , NNNN , N      , RGB1 , T         , MaxwellA
ETC2_RGB8               , NONE                  , ETC2_RGB          , NNNN , N      , RGB1 , T         , MaxwellA
ETC2_SRGB8              , NONE                  , ETC2_RGB          , NNNN , N      , RGB1 , T         , MaxwellA
ETC2_RGB8A1             , NONE                  , ETC2_RGB_PTA      , NNNN , N      , RGBA , T         , MaxwellA
ETC2_SRGB8A1            , NONE                  , ETC2_RGB_PTA      , NNNN , N      , RGBA , T         , MaxwellA
ETC2_RGBA8              , NONE                  , ETC2_RGBA         , NNNN , N      , RGBA , T         , MaxwellA
ETC2_SRGBA8             , NONE                  , ETC2_RGBA         , NNNN , N      , RGBA , T         , MaxwellA
ETC2_R11_UNORM          , NONE                  , EAC               , NNNN , N      , R001 , T         , MaxwellA
ETC2_R11_SNORM          , NONE                  , EAC               , SSSS , S      , R001 , T         , MaxwellA
ETC2_RG11_UNORM         , NONE                  , EACX2             , NNNN , N      , RG01 , T         , MaxwellA
ETC2_RG11_SNORM         , NONE                  , EACX2             , SSSS , S      , RG01 , T         , MaxwellA

# ASTC compressed formats
ASTC_4x4                , NONE                  , ASTC_2D_4X4       , NNNN , N      , RGBA , T         , TK1
ASTC_5x4                , NONE                  , ASTC_2D_5X4       , NNNN , N      , RGBA , T         , TK1
ASTC_5x5                , NONE                  , ASTC_2D_5X5       , NNNN , N      , RGBA , T         , TK1
ASTC_6x5                , NONE                  , ASTC_2D_6X5       , NNNN , N      , RGBA , T         , TK1
ASTC_6x6                , NONE                  , ASTC_2D_6X6       , NNNN , N      , RGBA , T         , TK1
ASTC_8x5                , NONE                  , ASTC_2D_8X5       , NNNN , N      , RGBA , T         , TK1
ASTC_8x6                , NONE                  , ASTC_2D_8X6       , NNNN , N      , RGBA , T         , TK1
ASTC_8x8                , NONE                  , ASTC_2D_8X8       , NNNN , N      , RGBA , T         , TK1
ASTC_10x5               , NONE                  , ASTC_2D_10X5      , NNNN , N      , RGBA , T         , TK1
ASTC_10x6               , NONE                  , ASTC_2D_10X6      , NNNN , N      , RGBA , T         , TK1
ASTC_10x8               , NONE                  , ASTC_2D_10X8      , NNNN , N      , RGBA , T         , TK1
ASTC_10x10              , NONE                  , ASTC_2D_10X10     , NNNN , N      , RGBA , T         , TK1
ASTC_12x10              , NONE                  , ASTC_2D_12X10     , NNNN , N      , RGBA , T         , TK1
ASTC_12x12              , NONE                  , ASTC_2D_12X12     , NNNN , N      , RGBA , T         , TK1

ASTC_4x4_SRGB           , NONE                  , ASTC_2D_4X4       , NNNN , N      , RGBA , T         , TK1
ASTC_5x4_SRGB           , NONE                  , ASTC_2D_5X4       , NNNN , N      , RGBA , T         , TK1
ASTC_5x5_SRGB           , NONE                  , ASTC_2D_5X5       , NNNN , N      , RGBA , T         , TK1
ASTC_6x5_SRGB           , NONE                  , ASTC_2D_6X5       , NNNN , N      , RGBA , T         , TK1
ASTC_6x6_SRGB           , NONE                  , ASTC_2D_6X6       , NNNN , N      , RGBA , T         , TK1
ASTC_8x5_SRGB           , NONE                  , ASTC_2D_8X5       , NNNN , N      , RGBA , T         , TK1
ASTC_8x6_SRGB           , NONE                  , ASTC_2D_8X6       , NNNN , N      , RGBA , T         , TK1
ASTC_8x8_SRGB           , NONE                  , ASTC_2D_8X8       , NNNN , N      , RGBA , T         , TK1
ASTC_10x5_SRGB          , NONE                  , ASTC_2D_10X5      , NNNN , N      , RGBA , T         , TK1
ASTC_10x6_SRGB          , NONE                  , ASTC_2D_10X6      , NNNN , N      , RGBA , T         , TK1
ASTC_10x8_SRGB          , NONE                  , ASTC_2D_10X8      , NNNN , N      , RGBA , T         , TK1
ASTC_10x10_SRGB         , NONE                  , ASTC_2D_10X10     , NNNN , N      , RGBA , T         , TK1
ASTC_12x10_SRGB         , NONE                  , ASTC_2D_12X10     , NNNN , N      , RGBA , T         , TK1
ASTC_12x12_SRGB         , NONE                  , ASTC_2D_12X12     , NNNN , N      , RGBA , T         , TK1
